carrier_name,month,arr_delay
PSA Airlines,04,7.1525423728813555
PSA Airlines,05,2.1640625
PSA Airlines,06,9.880239520958083
PSA Airlines,07,-2.6470588235294117
PSA Airlines,08,8.649006622516556
PSA Airlines,09,8.714285714285714
PSA Airlines,10,17.094827586206897
PSA Airlines,11,59.0
PSA Airlines,12,1.5396825396825398
Peninsula Airways,02,1.75
Peninsula Airways,03,25.0
Peninsula Airways,10,11.5
Piedmont Airlines,01,-0.9811320754716981
Piedmont Airlines,02,-8.764705882352942
Piedmont Airlines,03,-4.866666666666666
Piedmont Airlines,05,3.043010752688172
Piedmont Airlines,06,4.015384615384615
Piedmont Airlines,07,-4.25
Piedmont Airlines,08,28.729166666666668
Piedmont Airlines,09,-12.869565217391305
Piedmont Airlines,10,7.0
Piedmont Airlines,11,8.988505747126437
Piedmont Airlines,12,2.358974358974359
Republic Airways,01,9.158536585365853
Republic Airways,02,-5.116666666666666
Republic Airways,03,-1.3596491228070176
Republic Airways,04,8.03225806451613
Republic Airways,05,10.617283950617283
Republic Airways,06,15.585365853658537
Republic Airways,07,6.32258064516129
Republic Airways,08,1.2982456140350878
Republic Airways,09,-8.219780219780219
Republic Airways,10,7.372549019607843
Republic Airways,11,-2.021276595744681
Republic Airways,12,-2.65
SkyWest Airlines,01,6.569444444444445
SkyWest Airlines,02,8.138613861386139
SkyWest Airlines,03,-1.961290322580645
SkyWest Airlines,04,10.762626262626263
SkyWest Airlines,05,-0.645
SkyWest Airlines,06,3.1555555555555554
SkyWest Airlines,07,7.111111111111111
SkyWest Airlines,08,28.382608695652173
SkyWest Airlines,09,-0.0058823529411764705
SkyWest Airlines,10,-0.3403361344537815
SkyWest Airlines,11,18.233333333333334
SkyWest Airlines,12,5.422018348623853
Southwest Airlines,01,0.6592082616179001
Southwest Airlines,02,5.552
Southwest Airlines,03,-2.476923076923077
Southwest Airlines,04,7.00639658848614
Southwest Airlines,05,10.577586206896552
Southwest Airlines,06,4.975177304964539
Southwest Airlines,07,13.08735632183908
Southwest Airlines,08,4.736940298507463
Southwest Airlines,09,-2.8238341968911915
Southwest Airlines,10,2.4236453201970445
Southwest Airlines,11,5.498866213151928
Southwest Airlines,12,1.4661016949152543
Spirit Airlines,01,9.8671875
Spirit Airlines,02,-4.966666666666667
Spirit Airlines,03,-9.45054945054945
Spirit Airlines,04,-14.666666666666666
Spirit Airlines,05,6.621951219512195
Spirit Airlines,06,0.08823529411764706
Spirit Airlines,07,10.586538461538462
Spirit Airlines,08,43.43478260869565
Spirit Airlines,09,9.571428571428571
Spirit Airlines,11,0.6923076923076923
Spirit Airlines,12,5.235294117647059
Trans States Airlines,01,56.1578947368421
Trans States Airlines,02,33.85858585858586
Trans States Airlines,03,10.323529411764707
Trans States Airlines,04,-1.9285714285714286
Trans States Airlines,06,18.785714285714285
Trans States Airlines,07,-2.611111111111111
Trans States Airlines,08,45.1578947368421
Trans States Airlines,09,26.527272727272727
Trans States Airlines,10,0.46875
Trans States Airlines,11,35.0
Trans States Airlines,12,-2.1724137931034484
United Airlines,01,-7.101694915254237
United Airlines,02,-3.8491620111731844
United Airlines,03,1.8548895899053628
United Airlines,04,3.434306569343066
United Airlines,05,8.88135593220339
United Airlines,06,-2.6627906976744184
United Airlines,07,-3.1487603305785123
United Airlines,08,24.081159420289854
United Airlines,09,-3.8333333333333335
United Airlines,10,0.9386792452830188
United Airlines,11,-0.06
United Airlines,12,24.316239316239315
Virgin America,03,5.5
